commit_sha,filename,maintainability_index,complexity,num_lines,num_functions,num_classes,avg_function_length,avg_num_parameters,nesting_levels,num_comments,duplicated_code_warnings,num_imports,cyclic_dependencies,is_bug,bug_type
83a91519b50bdeada444cc2080909e3a869d50f2,sklearn/linear_model/ridge.py,"3,46442E+16",101.0,909.0,26.0,7.0,"5,84615E+15","4,84615E+15",12.0,38.0,0.0,12.0,0.0,1,NameError
476fcb17b08c9e9755f40d617986d8c2de3e317e,pandas/tests/reshape/test_from_dummies.py,100.0,33.0,443.0,33.0,0.0,"4,09091E+15",0.36363636363636365,0.0,5.0,0.0,3.0,0.0,1,NameError
ba60432eda7f7ea0479eb63aae43ac680a2b8678,pandas/tests/io/json/test_json_table_schema.py,"2,03363E+15",107.0,883.0,48.0,4.0,56875,"1,85417E+16",3.0,13.0,0.0,7.0,0.0,0,NameError
99e3afe8a7bab9cd2d53322909627e5797907be2,pandas/tests/reshape/concat/test_concat.py,"2,51289E+15",105.0,903.0,51.0,3.0,"8,2549E+15",0.9803921568627451,3.0,60.0,0.0,9.0,0.0,0,NameError
956bd644249337b9467c017aac4eec228dde8c5d,django/db/migrations/migration.py,"6,84982E+14",24.0,136.0,10.0,2.0,3.7,2.1,8.0,21.0,0.0,1.0,0.0,1,NameError
f6d6929f32e3eb7206719c4abde8addddd8a8f08,sklearn/discriminant_analysis.py,"3,16919E+16",75.0,1059.0,20.0,2.0,8.7,2.85,15.0,28.0,0.0,15.0,0.0,0,NameError
f43c4bfee83258df2ab4d24b746eace619d83f52,sklearn/ensemble/_forest.py,"1,79853E+16",151.0,2957.0,39.0,8.0,"7,12821E+15","2,71795E+15",9.0,60.0,0.0,26.0,0.0,0,NameError
0de2aaea7fbc5b9b5af1a01981db72e5e8e29283,Lib/test/test_time.py,"5,62962E+16",33.0,255.0,17.0,1.0,"4,47059E+15",0.9411764705882353,5.0,54.0,0.0,5.0,0.0,1,NameError
6985f0c09bdf87509a1ca3c98f7ba45a7a9dbc0c,django/contrib/flatpages/tests/forms.py,100.0,10.0,99.0,8.0,1.0,5.5,1.0,0.0,0.0,0.0,7.0,0.0,0,NameError
b8cb5ba7081388ef38eccdf8e826747ad3a67e66,django/utils/autoreload.py,"4,65665E+16",61.0,325.0,15.0,1.0,"4,73333E+15",1.0,7.0,44.0,0.0,18.0,0.0,0,NameError
95ff7239bda51a234e04b1ad81c377fdf702faec,Lib/imaplib.py,"5,74843E+15",244.0,1549.0,88.0,7.0,"5,10227E+16","2,14773E+15",17.0,79.0,0.0,6.0,0.0,1,NameError
088579638b160f3716dc81d194be70c72743593f,django/contrib/sessions/backends/cached_db.py,"7,24048E+14",17.0,86.0,7.0,1.0,"3,57143E+16","1,57143E+16",3.0,5.0,0.0,8.0,0.0,0,NameError
6a13450cec5996cc14f722069ef9be150f034e03,pandas/core/dtypes/cast.py,0.0,379.0,1870.0,48.0,0.0,"6,02083E+15","1,95833E+16",8.0,174.0,0.0,18.0,0.0,1,NameError
6eb23b1311e7eebf2459076703460ee7f8044f05,Lib/test/test_capi/test_unicode.py,"8,30263E+15",139.0,1870.0,64.0,5.0,16328125,1078125,23.0,185.0,0.0,63.0,0.0,0,NameError
3083ae932e0b122e963608fb25cf3df06d588b03,pandas/core/arrays/arrow/array.py,0.0,373.0,2115.0,131.0,1.0,"4,25954E+15","2,14504E+15",13.0,89.0,0.0,21.0,0.0,1,NameError
31fd64ad8a98d7de0acb9144ae6f7bd124700cb0,django/db/models/sql/query.py,0.0,381.0,1917.0,79.0,2.0,"6,44304E+15","2,40506E+16",12.0,250.0,0.0,16.0,0.0,0,NameError
96967f642fbbd01a10e1c1e17764dd6af7c35e97,django/db/models/fields/related.py,0.0,355.0,1714.0,134.0,17.0,"4,35075E+15","2,20149E+15",10.0,193.0,0.0,17.0,0.0,0,NameError
f5d754d4fcaefff9ff08167a55426f3afe88b175,pandas/core/indexes/multi.py,0.0,591.0,4099.0,120.0,3.0,6.55,"2,26667E+16",12.0,288.0,0.0,20.0,0.0,0,NameError
b3b97dcb723f86331b2276cc2809bd6506d472b9,pandas/tests/copy_view/test_constructors.py,"5,07734E+16",56.0,275.0,16.0,0.0,84375,1125,6.0,31.0,0.0,4.0,0.0,0,NameError
3273bd7b254680a5b241e2fdbc3196956b2b44e8,tests/template_tests/tests.py,"3,31153E+15",129.0,1964.0,61.0,17.0,"4,06557E+15","1,16393E+16",8.0,312.0,0.0,21.0,0.0,0,NameError
b20af944d27e6277a9afa9f01282673eb89f7cf6,Lib/test/test_logging.py,"3,59895E+16",106.0,949.0,45.0,15.0,"5,68889E+15","1,26667E+16",9.0,101.0,0.0,23.0,0.0,1,NameError
3725ac149555809e44bcbf929e60a81cff2a2ef3,sklearn/model_selection/_search_successive_halving.py,"4,17986E+15",56.0,1085.0,14.0,4.0,"5,92857E+15","2,35714E+15",15.0,38.0,0.0,21.0,0.0,0,NameError
7a2d77c903f29d7ea08b870b8e3fa2130f667a59,Lib/test/test_cext/setup.py,"7,15332E+15",13.0,109.0,1.0,0.0,17.0,0.0,6.0,20.0,0.0,7.0,0.0,0,NameError
6024fd5dc2022f3724ea6440c319440d457a7366,tests/aggregation/tests.py,"2,47786E+15",61.0,1150.0,62.0,7.0,"6,51613E+15","1,27419E+16",4.0,13.0,0.0,12.0,0.0,1,NameError
634b9402466c96c51e6667af935bde01e7ecf144,pandas/io/parsers/arrow_parser_wrapper.py,"6,04222E+15",43.0,205.0,5.0,1.0,9.2,1.4,5.0,19.0,0.0,10.0,0.0,1,NameError
0dade0bde8547ebb135a8d4c414a6c7c05091ac9,pandas/conftest.py,"4,35452E+15",128.0,1979.0,120.0,2.0,4.35,0.875,8.0,80.0,0.0,18.0,0.0,0,NameError
